5.324,0.139,0.943,0.00892,1.03
5.31,0.139,0.941,0.00617,1.03
5.294,0.185,0.942,0.00619,1.03
5.308,0.185,0.945,0.01003,1.03
5.733,0.1,0.998,0.01188,1.03
5.738,0.05,0.993,0.01186,1.03
5.325,0.046,0.938,0.01155,1.03
5.319,0.093,0.939,0.01116,1.03
5.743,0,0.988,0.01188,1.03
5.328,0,0.936,0.01157,1.03
5.749,-0.05,0.984,0.01193,1.03
5.329,-0.047,0.935,0.01162,1.03
5.756,-0.1,0.978,0.012,1.03
5.76,-0.151,0.972,0.01204,1.03
5.331,-0.14,0.93,0.01171,1.03
5.329,-0.093,0.932,0.01168,1.03
5.775,-0.202,0.967,0.01203,1.03
5.348,-0.187,0.928,0.01169,1.03
5.782,-0.252,0.96,0.01206,1.03
5.354,-0.234,0.924,0.01172,1.03
5.789,-0.303,0.951,0.01208,1.03
5.36,-0.281,0.92,0.01173,1.03
5.796,-0.355,0.942,0.0121,1.03
5.367,-0.328,0.915,0.01175,1.03
5.804,-0.406,0.933,0.01212,1.03
5.374,-0.376,0.909,0.01177,1.03
5.812,-0.457,0.923,0.01213,1.03
5.381,-0.424,0.903,0.01179,1.03
5.819,-0.509,0.913,0.01208,1.03
5.463,-0.478,0.9,0.01503,1.03
5.388,-0.471,0.897,0.01198,1.03
5.801,-0.559,0.906,0.01173,1.03
5.409,-0.521,0.891,0.01145,1.03
5.804,-0.61,0.898,0.01175,1.03
5.413,-0.569,0.883,0.01148,1.03
5.81,-0.662,0.889,0.01138,1.03
5.574,-0.635,0.88,0.01471,1.03
5.425,-0.618,0.875,0.01201,1.03
5.816,-0.714,0.88,0.01172,1.03
5.431,-0.667,0.867,0.01144,1.03
5.823,-0.767,0.87,0.01173,1.03
5.437,-0.716,0.859,0.01145,1.03
5.829,-0.819,0.862,0.01173,1.03
5.808,-0.868,0.851,0.01117,1.03
5.477,-0.819,0.844,0.01093,1.03
5.443,-0.765,0.851,0.01148,1.03
5.815,-0.921,0.841,0.01118,1.03
5.484,-0.869,0.835,0.01096,1.03
5.821,-0.974,0.83,0.0112,1.03
5.823,-1.027,0.819,0.01117,1.03
5.496,-0.969,0.815,0.01095,1.03
5.491,-0.919,0.825,0.01098,1.03
5.827,-1.08,0.808,0.01116,1.03
5.829,-1.133,0.796,0.01113,1.03
5.51,-1.071,0.793,0.01092,1.03
5.503,-1.02,0.805,0.01095,1.03
5.833,-1.187,0.783,0.01109,1.03
5.519,-1.123,0.782,0.01087,1.03
5.839,-1.241,0.771,0.01037,1.03
5.801,-1.233,0.771,0.01431,1.03
5.728,-1.218,0.771,0.01565,1.03
5.654,-1.202,0.771,0.0156,1.03
5.58,-1.186,0.771,0.01349,1.03
5.525,-1.174,0.772,0.00932,1.03
5.598,-2.852,0.462,0.00869,1.03
5.566,-2.898,0.455,0.00736,1.03
5.539,-2.884,0.455,0.01194,1.03
5.554,-2.83,0.462,0.01253,1.03
5.495,-2.86,0.455,0.01378,1.03
5.509,-2.807,0.462,0.01381,1.03
5.614,-2.799,0.472,0.00872,1.03
5.57,-2.777,0.472,0.01257,1.03
5.45,-2.837,0.455,0.01374,1.03
5.464,-2.784,0.462,0.01377,1.03
5.525,-2.755,0.472,0.01385,1.03
5.621,-2.742,0.486,0.00831,1.03
5.583,-2.723,0.486,0.0124,1.03
5.405,-2.814,0.455,0.0122,1.03
5.419,-2.761,0.462,0.01243,1.03
5.479,-2.732,0.472,0.01381,1.03
5.538,-2.701,0.486,0.01389,1.03
5.643,-2.692,0.501,0.00875,1.03
5.598,-2.67,0.501,0.01261,1.03
5.361,-2.791,0.455,0.00896,1.03
5.375,-2.739,0.462,0.00858,1.03
5.435,-2.71,0.472,0.01247,1.03
5.493,-2.679,0.486,0.01385,1.03
5.553,-2.649,0.501,0.01389,1.03
5.657,-2.638,0.515,0.00874,1.03
5.612,-2.617,0.515,0.0126,1.03
5.39,-2.687,0.472,0.00861,1.03
5.448,-2.657,0.486,0.01251,1.03
5.507,-2.627,0.501,0.01385,1.03
5.567,-2.596,0.515,0.01388,1.03
5.67,-2.584,0.53,0.00873,1.03
5.625,-2.563,0.53,0.01259,1.03
5.403,-2.635,0.486,0.00863,1.03
5.462,-2.605,0.501,0.01251,1.03
5.521,-2.575,0.515,0.01384,1.03
5.684,-2.53,0.544,0.00872,1.03
5.638,-2.51,0.544,0.01257,1.03
5.417,-2.584,0.501,0.00864,1.03
5.476,-2.553,0.515,0.0125,1.03
5.579,-2.543,0.53,0.01387,1.03
5.592,-2.49,0.544,0.01385,1.03
5.696,-2.477,0.557,0.0087,1.03
5.651,-2.457,0.557,0.01254,1.03
5.431,-2.532,0.515,0.00863,1.03
5.533,-2.521,0.53,0.01383,1.03
5.546,-2.469,0.544,0.01381,1.03
5.605,-2.437,0.557,0.01382,1.03
5.707,-2.423,0.569,0.00869,1.03
5.662,-2.403,0.569,0.01252,1.03
5.487,-2.501,0.53,0.01249,1.03
5.5,-2.449,0.544,0.01247,1.03
5.558,-2.417,0.557,0.01378,1.03
5.616,-2.384,0.569,0.01379,1.03
5.718,-2.368,0.581,0.00867,1.03
5.672,-2.349,0.581,0.0125,1.03
5.442,-2.48,0.53,0.00862,1.03
5.455,-2.429,0.544,0.00861,1.03
5.513,-2.397,0.557,0.01245,1.03
5.569,-2.364,0.569,0.01376,1.03
5.626,-2.33,0.581,0.01377,1.03
5.728,-2.314,0.591,0.00866,1.03
5.682,-2.296,0.591,0.01248,1.03
5.467,-2.377,0.557,0.00859,1.03
5.523,-2.344,0.569,0.01242,1.03
5.579,-2.311,0.581,0.01373,1.03
5.636,-2.277,0.591,0.01375,1.03
5.738,-2.26,0.601,0.00865,1.03
5.692,-2.242,0.601,0.01246,1.03
5.477,-2.325,0.569,0.00858,1.03
5.533,-2.292,0.581,0.0124,1.03
5.589,-2.258,0.591,0.01371,1.03
